,Incident Number w/year,Watch,Type of Incident,incident_type,Type  Location,Division,Council District,Year of Incident,Month1 of Occurence,Day1 of the Week,NIBRS Crime Category,severity,NIBRS Crime Against,Zip Code,x,y
10,801805-2023,1,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Rental Storage Facility,NORTHEAST,10,2023,February,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75243,32.90526,-96.76577
11,802235-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Construction Site,SOUTHWEST,3,2023,September,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75236,32.66559,-96.9575
12,803896-2023,1,"THEFT OF SERVICE > OR EQUAL $2,500 <$30K PC31.04(e4)",THEFT,Airport - Love Field,NORTHWEST,2,2023,February,Thu,FRAUD OFFENSES,11,PROPERTY,75235,32.85262,-96.85281
13,802989-2023,1,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),SOUTHWEST,1,2023,February,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75211,32.75757,-96.86583
14,802920-2023,1,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Hotel/Motel/ETC,NORTHEAST,14,2023,March,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75206,32.86281,-96.76889
15,803411-2023,1,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Other,SOUTHEAST,5,2023,March,Thu,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75217,32.73417,-96.65605
16,008684-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,3,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.70577,-96.91309
17,004681-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),CENTRAL,2,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75202,32.77397,-96.80134
18,068711-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,CENTRAL,2,2023,April,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75226,32.78065,-96.77707
19,057953-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Storage Facility,SOUTHWEST,6,2023,June,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75212,32.76879,-96.86309
20,069965-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,3,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75236,32.67737,-96.96675
22,067546-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Commercial Property Occupied/Vacant,NORTHWEST,6,2023,April,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75229,32.89283,-96.90145
23,071863-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.810572508,-96.896730652
24,071922-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTH CENTRAL,3,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75237,32.67037,-96.85934
26,071278-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),CENTRAL,14,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75201,32.787904005,-96.796740991
28,004684-2023,3,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),NORTHWEST,2,2023,January,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.80766,-96.81631
29,004298-2023,3,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Drug Related Charges,"Highway, Street, Alley ETC",CENTRAL,2,2023,January,Sat,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75223,32.79052,-96.75538
30,072504-2023,2,MURDER,BURGLARY,Field/Woods,SOUTHEAST,8,2023,April,Sat,HOMICIDE OFFENSES,1,PERSON,75217,32.710442346,-96.699957833
31,072621-2023,2,ASSAULT (AGG) -DEADLY WEAPON,ASSAULT,Gas or Service Station,SOUTHWEST,6,2023,April,Sat,ASSAULT OFFENSES,3,PERSON,75212,32.78939,-96.8564
32,063133-2023,2,ROBBERY OF INDIVIDUAL,ROBBERY,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,April,Fri,ROBBERY,4,PROPERTY,75217,32.70998,-96.66208
33,072259-2023,2,ROBBERY OF BUSINESS,ROBBERY,Gas or Service Station,SOUTHEAST,8,2023,April,Fri,ROBBERY,4,PROPERTY,75217,32.71281,-96.68441
34,063136-2023,2,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Park,SOUTH CENTRAL,4,2023,April,Fri,ROBBERY,4,PROPERTY,75216,32.69378,-96.80993
35,007830-2023,2,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Parking (Business),NORTHEAST,9,2023,January,Fri,ROBBERY,4,PROPERTY,75238,32.86728,-96.67748
36,801891-2023,1,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Convenience Store,SOUTHEAST,8,2023,February,Wed,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75253,32.6696,-96.61393
37,803992-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Construction Site,SOUTH CENTRAL,8,2023,April,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75241,32.64773,-96.81595
38,802871-2023,1,THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),THEFT,Gas or Service Station,SOUTH CENTRAL,8,2023,March,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75241,32.64841,-96.78162
39,801538-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Construction Site,NORTHEAST,11,2023,February,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75243,32.92135,-96.76474
40,803099-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Industrial/Manufacturing,SOUTH CENTRAL,8,2023,March,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75237,32.64138,-96.86414
41,801669-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Construction Site,SOUTHWEST,6,2023,February,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75208,32.7696,-96.84758
42,802653-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Construction Site,NORTHWEST,13,2023,March,Fri,LARCENY/ THEFT OFFENSES,9,PROPERTY,75209,32.85445,-96.83018
43,802698-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Parking Lot (Park),SOUTH CENTRAL,4,2023,March,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75216,32.71114,-96.76482
44,803270-2023,1,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Restaurant/Food Service/TABC Location,NORTHEAST,14,2023,March,Tue,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75206,32.8587,-96.76852
45,803212-2023,1,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Business Office,SOUTHEAST,7,2023,March,Sun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75215,32.74222,-96.7587
46,804359-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,"Highway, Street, Alley ETC",NORTHWEST,6,2023,April,Sat,LARCENY/ THEFT OFFENSES,9,PROPERTY,75217,32.81237,-96.88054
47,804170-2023,1,THEFT OF SERVICE > OR EQUAL $30K <$150K PC31.04(e5),THEFT,Other,NORTHWEST,2,2023,March,Sun,FRAUD OFFENSES,11,PROPERTY,75235,32.85262,-96.85281
48,804481-2023,1,THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),THEFT,"Highway, Street, Alley ETC",SOUTH CENTRAL,4,2023,April,Mon,LARCENY/ THEFT OFFENSES,9,PROPERTY,75217,32.70091,-96.77064
51,804659-2023,1,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Business Office,NORTHEAST,14,2023,April,Wed,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75206,32.86423,-96.76728
52,052397-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Convenience Store,SOUTHWEST,1,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.75671,-96.8629
53,052854-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,1,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.73237,-96.83878
54,052274-2023,2,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Commercial Property Occupied/Vacant,SOUTHWEST,1,2023,March,Tue,ROBBERY,4,PROPERTY,75211,32.75554,-96.86915
55,039046-2023,2,THEFT FROM PERSON-PICKPOCKE,THEFT,Outdoor Area Public/Private,SOUTHWEST,1,2023,March,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75208,32.74789,-96.85676
56,052434-2023,2,ROBBERY OF BUSINESS (AGG),ROBBERY,Retail Store,SOUTHWEST,1,2023,March,Tue,ROBBERY,4,PROPERTY,75208,32.73476,-96.82463
57,043588-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Auto Dealership New/Used,SOUTHWEST,3,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.70577,-96.91309
58,052730-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,4,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.72018,-96.83163
59,802849-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Business Office,SOUTHWEST,6,2023,March,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75211,32.76167,-96.89449
60,033768-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),SOUTHWEST,3,2023,May,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75233,32.71682,-96.85915
61,066039-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Business Office,SOUTHWEST,1,2023,April,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75203,32.75964,-96.82229
62,070801-2023,2,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Retail Store,SOUTHWEST,1,2023,April,Wed,ROBBERY,4,PROPERTY,75208,32.74943,-96.82319
63,070793-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Other,SOUTHWEST,1,2023,April,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75203,32.74413,-96.82303
64,062043-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,1,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.72116,-96.83213
65,804261-2023,2,THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),THEFT,"Highway, Street, Alley ETC",SOUTHWEST,3,2023,April,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75137,32.66365,-96.87121
66,057370-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,3,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.70577,-96.91309
67,057450-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,3,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75236,32.68014,-96.96574
68,066482-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,3,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75237,32.67753,-96.88059
69,071606-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,6,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75208,32.77053,-96.84798
70,057519-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.77369,-96.90417
71,017729-2023,2,CREDIT CARD OR DEBIT CARD ABUSE,CREDIT CARD OR DEBIT CARD ABUSE,Specialty Store (In a Specific Item),SOUTHWEST,1,2023,December,Wed,FRAUD OFFENSES,11,PROPERTY,75211,32.72639,-96.87231
72,033776-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Auto Dealership New/Used,SOUTHWEST,3,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.70577,-96.91309
73,022425-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,3,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75237,32.68243,-96.88949
74,801362-2023,2,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,SOUTHWEST,1,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75208,32.74316,-96.83304
75,010615-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,1,2023,January,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.74091,-96.8742
76,014951-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),SOUTHWEST,1,2023,January,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75208,32.74637,-96.82794
77,001393-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,1,2023,January,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.72328,-96.83238
78,014947-2023,2,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",THEFT,Parking (Business),SOUTHWEST,6,2023,January,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75212,32.77859,-96.82815
79,053183-2023,2,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Entertainment/Sports Venue,SOUTHWEST,1,2023,March,Wed,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75208,32.74368,-96.82586
80,044370-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,1,2023,March,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75203,32.74399,-96.82187
81,037907-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,3,2023,March,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75233,32.70879,-96.87616
82,048415-2023,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,6,2023,March,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.78887,-96.90136
83,048460-2023,2,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,March,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.76406,-96.89569
84,019339-2023,2,POSS MARIJUANA >2OZ< OR EQUAL 4OZ *DRUG FREE ZONE*,MARIJUANA,Convenience Store,CENTRAL,14,2023,February,Fri,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75202,32.78268,-96.8043
85,032170-2023,2,POSS CONT SUB PEN GRP 1 <1G,Drug Related Charges,Abandoned/Condemned Structure,CENTRAL,2,2023,February,Fri,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75207,32.7639,-96.80322
86,045351-2023,2,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Drug Related Charges,"Highway, Street, Alley ETC",CENTRAL,14,2023,March,Fri,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75214,32.79631,-96.76259
87,049679-2023,2,MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 1G<4G,Drug Related Charges,Convenience Store,CENTRAL,2,2023,March,Fri,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75215,32.76737,-96.79509
88,064911-2023,2,MAN DEL CONT SUB PEN GRP 1 <1G,Drug Related Charges,Parking (Business),CENTRAL,2,2023,April,Mon,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75215,32.76737,-96.79509
89,025264-2023,2,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Drug Related Charges,"Highway, Street, Alley ETC",CENTRAL,14,2023,February,Mon,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75219,32.80772,-96.80595
90,025476-2023,2,UNLAWFUL POSS FIREARM BY FELON,Weapons Related Charges,"Highway, Street, Alley ETC",CENTRAL,14,2023,February,Mon,WEAPON LAW VIOLATIONS,5,SOCIETY,75202,32.78168,-96.805
91,013681-2023,2,MAN DEL CONT SUB PEN GRP 1 <1G,Drug Related Charges,School - College/University,CENTRAL,2,2023,January,Mon,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75215,32.76737,-96.79509
92,038570-2023,2,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,MARIJUANA,"Highway, Street, Alley ETC",CENTRAL,14,2023,March,Mon,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75204,32.79935,-96.78864
93,024284-2023,2,POSS MARIJUANA >2OZ< OR EQUAL 4OZ *DRUG FREE ZONE*,MARIJUANA,"Highway, Street, Alley ETC",CENTRAL,14,2023,February,Sat,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75202,32.78168,-96.805
94,041702-2023,2,POSS CONT SUB PEN GRP 1 <1G,Drug Related Charges,Parking Lot (All Others),CENTRAL,14,2023,March,Sat,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75206,32.8394,-96.77171
95,012602-2023,2,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,MARIJUANA,Hotel/Motel/ETC,CENTRAL,14,2023,October,Sat,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75201,32.7991,-96.80691
96,057537-2023,2,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,MARIJUANA,Other,CENTRAL,14,2023,January,Sun,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75206,32.81715,-96.78819
97,037857-2023,2,UNLAWFUL POSS FIREARM BY FELON,Weapons Related Charges,"Highway, Street, Alley ETC",CENTRAL,2,2023,March,Sun,WEAPON LAW VIOLATIONS,5,SOCIETY,75223,32.78923,-96.7645
98,006958-2023,2,POSS MARIJUANA >5LBS< OR EQUAL 50LBS,MARIJUANA,Commercial Property Occupied/Vacant,CENTRAL,14,2023,January,Thu,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75205,32.82331,-96.78768
99,049160-2023,2,MAN DEL CONT SUB PEN GRP 2 or 2-A < 1G,Drug Related Charges,Retail Store,CENTRAL,2,2023,March,Thu,DRUG/ NARCOTIC VIOLATIONS,6,SOCIETY,75215,32.76737,-96.79509
100,039494-2023,3,ROBBERY OF BUSINESS (AGG),ROBBERY,"Highway, Street, Alley ETC",NORTHEAST,10,2023,March,Tue,ROBBERY,4,PROPERTY,75243,32.91628,-96.7004
101,048006-2023,3,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHEAST,13,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75231,32.86328,-96.75549
102,804071-2023,3,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Construction Site,NORTHEAST,10,2023,April,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75238,32.88342,-96.69713
103,803962-2023,3,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Retail Store,NORTHEAST,13,2023,April,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75231,32.87497,-96.76837
104,067584-2023,3,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Retail Store,NORTHEAST,13,2023,April,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75231,32.86492,-96.7441
105,057592-2023,3,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHEAST,13,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75231,32.87732,-96.7696
106,804974-2023,3,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",CRIM MISCHIEF,Convenience Store,NORTHEAST,2,2023,April,Wed,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75217,32.645756985,-96.839268001
107,804956-2023,3,"THEFT OF PROP > OR EQUAL $2,500 <$30K (SHOPLIFT-NOT EMP) PC31.03 (e4A)",THEFT,Drug Store/Doctors Office/Hospital,NORTHEAST,2,2023,April,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75224,32.72094,-96.85629
108,071005-2023,3,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,"Highway, Street, Alley ETC",NORTHEAST,7,2023,April,Wed,ROBBERY,4,PROPERTY,75228,32.80009,-96.70729
109,070919-2023,3,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Outdoor Area Public/Private,NORTHEAST,7,2023,April,Wed,ROBBERY,4,PROPERTY,75228,32.79674,-96.71749
110,070991-2023,3,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Parking (Business),NORTHEAST,7,2023,April,Wed,ROBBERY,4,PROPERTY,75228,32.80735,-96.68413
111,070546-2023,3,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,FRAUD,Other,NORTHEAST,9,2023,April,Wed,FRAUD OFFENSES,11,PROPERTY,75218,32.815209982,-96.706607033
112,040558-2023,3,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Parking (Business),NORTHEAST,9,2023,December,Wed,LARCENY/ THEFT OFFENSES,9,PROPERTY,75228,32.86018,-96.66135
